,player_id,playing_season,playing_position,playing_age,team_name,no_of_games_played,no_minutes_played,field_goals_made,field_goals_pctg,three_pointers_made,three_point_pctg,effective_field_goal_pctg,free_thows_made,free_throws_pctg,total_rebounds,no_of_assists,no_of_steals,no_of_blocks,no_of_turnovers,points
534,turnemy01,2016,C,20,IND,81,31.4,5.5,0.511,0.5,0.348,0.534,3.0,0.809,7.3,1.3,0.9,2.1,1.3,14.5
535,udrihbe01,2016,PG,34,DET,39,14.4,2.4,0.467,0.3,0.344,0.495,0.8,0.941,1.5,3.4,0.3,0.0,0.9,5.8
536,ulisty01,2016,PG,21,PHO,61,18.4,3.0,0.421,0.3,0.266,0.445,0.9,0.775,1.6,3.7,0.8,0.1,1.3,7.3
537,uthofja01,2016,PF,23,DAL,9,12.8,1.8,0.421,0.3,0.333,0.461,0.6,0.714,2.4,1.0,0.2,0.4,0.3,4.4
538,valanjo01,2016,C,24,TOR,80,25.8,4.9,0.557,0.0,0.5,0.558,2.2,0.811,9.5,0.7,0.5,0.8,1.3,12.0
539,valende01,2016,SG,23,CHI,57,17.1,1.8,0.354,1.3,0.351,0.481,0.2,0.778,2.6,1.1,0.5,0.1,0.9,5.1
540,vanvlfr01,2016,PG,22,TOR,37,7.9,1.1,0.351,0.3,0.379,0.401,0.5,0.818,1.1,0.9,0.4,0.1,0.4,2.9
541,varejan01,2016,C,34,GSW,14,6.6,0.4,0.357,0.0,0.0,0.357,0.6,0.727,1.9,0.7,0.2,0.2,0.6,1.3
542,vasqugr01,2016,PG,30,BRK,3,13.0,0.7,0.25,0.3,0.333,0.313,0.7,0.667,0.7,1.7,0.3,0.3,0.3,2.3
543,vaughra01,2016,SG,20,MIL,41,11.2,1.4,0.365,0.6,0.321,0.449,0.0,0.4,1.2,0.6,0.5,0.2,0.3,3.5
544,vonleno01,2016,PF,21,POR,74,17.1,1.8,0.481,0.1,0.35,0.494,0.8,0.638,5.2,0.4,0.4,0.4,0.9,4.4
545,vucevni01,2016,C,26,ORL,75,28.8,6.4,0.468,0.3,0.307,0.48,1.4,0.669,10.4,2.8,1.0,1.0,1.6,14.6
546,vujacsa01,2016,SG,32,NYK,42,9.7,1.0,0.309,0.5,0.311,0.393,0.4,0.708,1.4,1.2,0.3,0.0,0.4,3.0
547,wadedw01,2016,SG,35,CHI,60,29.9,6.9,0.434,0.8,0.31,0.457,3.7,0.794,4.5,3.8,1.4,0.7,2.3,18.3
548,waitedi01,2016,SG,25,MIA,46,30.1,6.1,0.424,1.8,0.395,0.488,1.8,0.646,3.3,4.3,0.9,0.4,2.2,15.8
549,walkeke02,2016,PG,26,CHO,79,34.7,8.1,0.444,3.0,0.399,0.527,3.8,0.847,3.9,5.5,1.1,0.3,2.1,23.2
550,walljo01,2016,PG,26,WAS,78,36.4,8.3,0.451,1.1,0.327,0.482,5.4,0.801,4.2,10.7,2.0,0.6,4.1,23.1
551,princta02,2016,SF,22,ATL,59,16.6,1.9,0.4,0.6,0.324,0.458,1.3,0.787,2.7,0.9,0.7,0.5,1.0,5.7
552,warretj01,2016,SF,23,PHO,66,31.0,6.1,0.495,0.4,0.265,0.511,1.8,0.773,5.1,1.1,1.2,0.6,0.9,14.4
553,watsocj01,2016,PG,32,ORL,62,16.3,1.5,0.387,0.5,0.305,0.452,0.9,0.864,1.4,1.8,0.7,0.0,0.8,4.5
554,weberbr01,2016,PG,24,TOT,20,10.3,1.3,0.417,0.1,0.1,0.425,0.6,0.688,1.3,1.1,0.6,0.1,0.4,3.1
557,westda01,2016,C,36,GSW,68,12.6,2.0,0.536,0.0,0.375,0.542,0.6,0.768,3.0,2.2,0.6,0.7,1.1,4.6
558,westbru01,2016,PG,28,OKC,81,34.6,10.2,0.425,2.5,0.343,0.476,8.8,0.845,10.7,10.4,1.6,0.4,5.4,31.6
559,whiteok01,2016,PF,24,MIA,35,13.5,0.9,0.379,0.3,0.353,0.448,0.6,0.909,2.3,0.6,0.3,0.3,0.5,2.8
560,whiteis01,2016,PG,21,BRK,73,22.5,2.8,0.402,0.6,0.295,0.445,1.2,0.805,2.5,2.6,0.6,0.5,1.9,7.4
561,whiteha01,2016,C,27,MIA,77,32.6,7.0,0.557,0.0,0.0,0.557,2.9,0.628,14.1,0.7,0.7,2.1,2.0,17.0
562,wiggian01,2016,SF,21,MIN,82,37.2,8.6,0.452,1.3,0.356,0.484,5.0,0.76,4.0,2.3,1.0,0.4,2.3,23.6
563,wilcocj01,2016,SG,26,ORL,22,4.9,0.4,0.258,0.1,0.2,0.306,0.1,1.0,0.5,0.5,0.1,0.0,0.3,1.0
564,willial03,2016,C,24,PHO,47,15.1,2.9,0.517,0.0,0.0,0.517,1.5,0.625,6.2,0.5,0.6,0.7,0.8,7.4
565,willide01,2016,PG,32,TOT,64,25.9,4.1,0.438,1.3,0.363,0.509,1.4,0.826,2.3,5.6,0.5,0.1,2.2,11.0
568,willide02,2016,PF,25,TOT,50,16.1,2.2,0.443,0.6,0.309,0.504,1.2,0.652,2.6,0.6,0.3,0.1,0.6,6.1
571,willilo02,2016,SG,30,TOT,81,24.6,5.3,0.429,2.0,0.365,0.511,5.0,0.88,2.5,3.0,1.0,0.2,2.0,17.5
574,willima02,2016,PF,30,CHO,76,30.2,3.9,0.422,1.6,0.35,0.51,1.7,0.873,6.6,1.4,0.8,0.7,0.8,11.2
575,willire02,2016,SF,30,NOP,6,13.2,1.3,0.348,0.8,0.455,0.457,1.0,0.857,1.0,0.7,0.5,0.0,0.0,4.5
576,willitr02,2016,SF,22,TOT,30,18.6,2.4,0.437,0.6,0.29,0.491,0.7,0.656,2.3,0.8,0.9,0.3,1.1,6.2
579,wiltjky01,2016,PF,24,HOU,14,3.1,0.3,0.286,0.3,0.308,0.429,0.1,0.5,0.7,0.1,0.2,0.1,0.4,0.9
580,winslju01,2016,SF,20,MIA,18,34.7,4.4,0.356,0.4,0.2,0.371,1.6,0.617,5.2,3.7,1.4,0.3,1.8,10.9
581,witheje01,2016,C,26,UTA,51,8.5,1.1,0.534,0.0,0.0,0.534,0.7,0.75,2.4,0.1,0.3,0.6,0.3,2.9
582,woodch01,2016,PF,21,CHO,13,8.2,0.9,0.522,0.0,0.0,0.522,0.8,0.733,2.2,0.2,0.2,0.5,0.5,2.7
583,artesro01,2016,SF,37,LAL,25,6.4,0.8,0.279,0.4,0.237,0.346,0.4,0.625,0.8,0.4,0.4,0.1,0.3,2.3
584,wrighbr03,2016,PF,29,MEM,28,16.0,3.0,0.615,0.0,0.0,0.615,0.8,0.657,2.8,0.5,0.4,0.7,0.4,6.8
585,wrighde01,2016,PG,24,TOR,27,16.5,1.8,0.422,0.4,0.333,0.466,1.6,0.764,1.8,2.1,1.0,0.4,0.9,5.6
586,youngja01,2016,SG,21,BOS,29,7.6,0.9,0.431,0.4,0.343,0.534,0.2,0.667,0.9,0.1,0.3,0.1,0.1,2.3
587,youngjo01,2016,PG,24,IND,33,4.1,0.8,0.361,0.2,0.217,0.396,0.3,0.733,0.5,0.5,0.1,0.0,0.2,2.1
588,youngni01,2016,SG,31,LAL,60,25.9,4.5,0.43,2.8,0.404,0.564,1.3,0.856,2.3,1.0,0.6,0.2,0.6,13.2
589,youngth01,2016,PF,28,IND,74,30.2,4.9,0.527,0.6,0.381,0.56,0.6,0.523,6.1,1.6,1.5,0.4,1.3,11.0
590,zelleco01,2016,C,24,CHO,62,27.8,4.1,0.571,0.0,0.0,0.571,2.1,0.679,6.5,1.6,1.0,0.9,1.0,10.3
591,zellety01,2016,C,27,BOS,51,10.3,1.5,0.494,0.0,0.0,0.494,0.4,0.564,2.4,0.8,0.1,0.4,0.4,3.5
592,zimmest01,2016,C,20,ORL,19,5.7,0.5,0.323,0.0,0.0,0.323,0.2,0.6,1.8,0.2,0.1,0.3,0.2,1.2
593,zipsepa01,2016,SF,22,CHI,44,19.2,2.0,0.398,0.8,0.333,0.473,0.7,0.775,2.8,0.8,0.3,0.4,0.9,5.5
594,zubaciv01,2016,C,19,LAL,38,16.0,3.3,0.529,0.0,0.0,0.529,0.8,0.653,4.2,0.8,0.4,0.9,0.8,7.5
