,player_id,playing_season,playing_position,playing_age,team_name,no_of_games_played,no_minutes_played,field_goals_made,field_goals_pctg,three_pointers_made,three_point_pctg,effective_field_goal_pctg,free_thows_made,free_throws_pctg,total_rebounds,no_of_assists,no_of_steals,no_of_blocks,no_of_turnovers,points
26,gordoaa01,2019,PF,24,ORL,62,32.5,5.4,0.437,1.2,0.308,0.484,2.4,0.674,7.7,3.7,0.8,0.6,1.6,14.4
37,holidaa01,2019,PG,23,IND,66,24.5,3.5,0.414,1.3,0.394,0.491,1.1,0.851,2.4,3.4,0.8,0.2,1.3,9.5
42,naderab01,2019,SF,26,OKC,55,15.8,2.2,0.468,0.9,0.375,0.559,0.9,0.773,1.8,0.7,0.4,0.4,0.8,6.3
47,mokokad01,2019,SF,21,CHI,11,10.2,1.1,0.429,0.5,0.4,0.536,0.2,0.5,0.9,0.4,0.4,0.0,0.2,2.9
49,schofad01,2019,PF,22,WAS,33,11.2,1.1,0.38,0.6,0.311,0.484,0.3,0.667,1.4,0.5,0.2,0.1,0.2,3.0
71,horfoal01,2019,C,33,PHI,67,30.2,4.8,0.45,1.5,0.35,0.52,0.9,0.763,6.8,4.0,0.8,0.9,1.2,11.9
88,aminual01,2019,PF,29,ORL,18,21.1,1.4,0.291,0.5,0.25,0.343,1.1,0.655,4.8,1.2,1.0,0.4,0.9,4.3
108,burksal01,2019,SF-SG,28,TOT,66,26.6,4.9,0.418,1.8,0.385,0.493,3.6,0.887,4.3,2.9,0.9,0.3,1.4,15.0
118,smailal01,2019,C,19,GSW,14,9.9,1.4,0.5,0.2,0.231,0.538,1.1,0.842,1.9,0.9,0.2,0.3,0.8,4.2
125,carusal01,2019,PG,25,LAL,64,18.4,1.9,0.412,0.6,0.333,0.481,1.1,0.734,1.9,1.9,1.1,0.3,0.8,5.5
137,lenal01,2019,C,26,TOT,55,17.6,3.2,0.555,0.3,0.271,0.58,1.2,0.648,5.8,0.9,0.4,0.9,1.0,8.0
154,mckinal01,2019,SF,27,CLE,40,14.8,1.8,0.427,0.4,0.215,0.468,0.6,0.71,2.8,0.4,0.6,0.2,0.7,4.6
159,johnsal02,2019,PF,23,IND,17,6.9,0.7,0.414,0.2,0.375,0.466,0.4,0.7,2.8,0.4,0.2,0.1,0.4,2.0
170,crabbal01,2019,SG-SF,27,TOT,37,17.6,1.7,0.356,1.0,0.303,0.458,0.3,0.714,2.1,0.9,0.4,0.1,0.5,4.6
173,trieral01,2019,SG,24,NYK,24,12.1,2.1,0.481,0.8,0.358,0.571,1.4,0.791,1.2,1.2,0.1,0.2,0.9,6.5
194,jeffeam01,2019,PF,26,ORL,18,4.1,0.3,0.357,0.0,0.0,0.357,0.3,0.357,1.3,0.2,0.1,0.2,0.2,0.8
196,coffeam01,2019,SG,22,LAC,18,8.8,1.3,0.426,0.3,0.316,0.481,0.3,0.545,0.9,0.8,0.3,0.1,0.4,3.2
227,drumman01,2019,C,26,TOT,57,33.0,7.3,0.533,0.1,0.143,0.536,3.0,0.575,15.2,2.7,1.9,1.6,3.6,17.7
236,iguodan01,2019,SF,36,MIA,21,19.9,1.8,0.432,0.7,0.298,0.511,0.3,0.4,3.7,2.4,0.7,1.0,1.2,4.6
255,roberan03,2019,SF,28,OKC,7,12.4,1.1,0.276,0.4,0.214,0.328,0.1,0.5,3.9,0.6,0.1,0.4,0.3,2.9
306,wiggian01,2019,SF,24,TOT,54,34.4,8.1,0.447,2.1,0.332,0.504,3.5,0.709,5.1,3.7,0.8,1.0,2.4,21.8
314,simonan01,2019,SG,20,POR,70,20.7,3.1,0.399,1.1,0.332,0.469,1.1,0.826,2.2,1.4,0.4,0.1,0.9,8.3
323,zizican01,2019,C,23,CLE,22,10.0,1.9,0.569,0.0,0.0,0.569,0.6,0.737,3.0,0.3,0.3,0.2,0.5,4.4
