,player_id,playing_season,playing_position,playing_age,team_name,no_of_games_played,no_minutes_played,field_goals_made,field_goals_pctg,three_pointers_made,three_point_pctg,effective_field_goal_pctg,free_thows_made,free_throws_pctg,total_rebounds,no_of_assists,no_of_steals,no_of_blocks,no_of_turnovers,points
0,abrinal01,2018,SG,25,OKC,31,19.0,1.8,0.357,1.3,0.323,0.487,0.4,0.923,1.5,0.6,0.5,0.2,0.5,5.3
1,acyqu01,2018,PF,28,PHO,10,12.3,0.4,0.222,0.2,0.133,0.278,0.7,0.7,2.5,0.8,0.1,0.4,0.4,1.7
2,adamsja01,2018,PG,22,ATL,34,12.6,1.1,0.345,0.7,0.338,0.459,0.2,0.778,1.8,1.9,0.4,0.1,0.8,3.2
3,adamsst01,2018,C,25,OKC,80,33.4,6.0,0.595,0.0,0.0,0.595,1.8,0.5,9.5,1.6,1.5,1.0,1.7,13.9
4,adebaba01,2018,C,21,MIA,82,23.3,3.4,0.576,0.0,0.2,0.579,2.0,0.735,7.3,2.2,0.9,0.8,1.5,8.9
5,adelde01,2018,SF,21,CLE,19,10.2,0.6,0.306,0.3,0.261,0.389,0.2,1.0,1.0,0.3,0.1,0.2,0.3,1.7
6,akoonde01,2018,SG,25,DEN,7,3.1,0.4,0.3,0.0,0.0,0.3,0.1,0.5,0.6,0.9,0.3,0.0,0.3,1.0
7,aldrila01,2018,C,33,SAS,81,33.2,8.4,0.519,0.1,0.238,0.522,4.3,0.847,9.2,2.4,0.5,1.3,1.8,21.3
8,alkinra01,2018,SG,21,CHI,10,12.0,1.3,0.333,0.3,0.25,0.372,0.8,0.667,2.6,1.3,0.1,0.0,0.8,3.7
9,allengr01,2018,SG,23,UTA,38,10.9,1.8,0.376,0.8,0.323,0.466,1.2,0.75,0.6,0.7,0.2,0.2,0.9,5.6
10,allenja01,2018,C,20,BRK,80,26.2,4.2,0.59,0.1,0.133,0.595,2.5,0.709,8.4,1.4,0.5,1.5,1.3,10.9
11,allenka01,2018,SG,26,NYK,19,21.9,3.4,0.461,0.9,0.472,0.521,2.2,0.778,2.7,4.0,0.8,0.2,1.4,9.9
12,aminual01,2018,PF,28,POR,81,28.3,3.2,0.433,1.2,0.343,0.514,1.9,0.867,7.5,1.3,0.8,0.4,0.9,9.4
13,anderju01,2018,SF,25,ATL,48,9.6,1.3,0.408,0.5,0.312,0.484,0.5,0.743,1.8,0.5,0.5,0.3,0.5,3.7
14,anderky01,2018,SF,25,MEM,43,29.8,3.5,0.543,0.2,0.265,0.56,0.9,0.578,5.8,3.0,1.3,0.9,1.3,8.0
15,anderry01,2018,PF,30,TOT,25,12.9,0.8,0.304,0.4,0.225,0.37,0.5,0.75,2.2,0.8,0.2,0.0,0.6,2.5
18,anigbik01,2018,C,20,IND,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.0,0.3,0.3,0.0
19,antetgi01,2018,PF,24,MIL,72,32.8,10.0,0.578,0.7,0.256,0.599,6.9,0.729,12.5,5.9,1.3,1.5,3.7,27.7
20,antetko01,2018,PF,21,DAL,2,5.5,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,1.0,0.0,0.5,1.0
21,anthoca01,2018,PF,34,HOU,10,29.4,4.9,0.405,2.1,0.328,0.492,1.5,0.682,5.4,0.5,0.4,0.7,0.8,13.4
22,anunoog01,2018,SF,21,TOR,67,20.2,2.7,0.453,1.0,0.332,0.536,0.5,0.581,2.9,0.7,0.7,0.3,0.8,7.0
23,arcidry01,2018,PG,24,CHI,81,24.2,2.3,0.447,1.0,0.373,0.544,1.1,0.873,2.7,3.3,0.8,0.0,0.8,6.7
24,arizatr01,2018,SF,33,TOT,69,34.0,4.3,0.399,2.1,0.334,0.498,1.9,0.793,5.4,3.7,1.3,0.3,1.5,12.5
27,augusdj01,2018,PG,31,ORL,81,28.0,3.9,0.47,1.6,0.421,0.566,2.2,0.866,2.5,5.3,0.6,0.0,1.6,11.7
28,aytonde01,2018,C,20,PHO,71,30.7,7.2,0.585,0.0,0.0,0.585,2.0,0.746,10.3,1.8,0.9,0.9,1.8,16.3
29,bacondw01,2018,SG,23,CHO,43,17.7,2.8,0.475,0.9,0.437,0.549,0.8,0.739,2.1,1.1,0.3,0.1,0.4,7.3
30,baglema01,2018,PF,19,SAC,62,25.3,5.7,0.504,0.5,0.313,0.525,2.9,0.691,7.6,1.0,0.5,1.0,1.6,14.9
31,bakerro01,2018,SG,25,TOT,15,10.1,0.3,0.2,0.1,0.077,0.225,0.3,0.833,0.7,1.0,0.4,0.1,0.3,0.9
34,baldwwa01,2018,PG,22,POR,16,5.9,0.6,0.303,0.1,0.222,0.333,0.5,0.727,0.9,0.8,0.1,0.1,0.9,1.9
35,balllo01,2018,PG,21,LAL,47,30.3,3.9,0.406,1.6,0.329,0.488,0.4,0.417,5.3,5.4,1.5,0.4,2.2,9.9
36,bambamo01,2018,C,20,ORL,47,16.3,2.5,0.481,0.4,0.3,0.525,0.8,0.587,5.0,0.8,0.3,1.4,0.9,6.2
37,bareajo01,2018,PG,34,DAL,38,19.8,4.2,0.418,1.0,0.297,0.468,1.4,0.705,2.5,5.6,0.6,0.0,1.9,10.9
38,barneha02,2018,PF-SF,26,TOT,77,32.9,5.6,0.42,2.3,0.395,0.504,3.0,0.824,4.7,1.5,0.6,0.2,1.3,16.4
41,bartowi01,2018,SF,28,DEN,43,27.7,4.3,0.402,1.6,0.342,0.475,1.3,0.77,4.6,2.9,0.4,0.5,1.5,11.5
42,bateske01,2018,SF,23,MIN,30,16.8,2.0,0.423,0.4,0.25,0.468,0.6,0.643,2.8,0.6,0.6,0.5,0.5,5.0
43,batumni01,2018,SF,30,CHO,75,31.4,3.4,0.45,1.5,0.389,0.553,1.0,0.865,5.2,3.3,0.9,0.6,1.6,9.3
44,bayleje01,2018,PG,30,MIN,34,19.3,2.4,0.357,0.9,0.296,0.42,0.5,0.571,1.8,3.5,0.5,0.1,0.9,6.1
45,baynear01,2018,C,32,BOS,51,16.1,2.1,0.471,0.4,0.344,0.518,1.0,0.855,4.7,1.1,0.2,0.7,0.8,5.6
46,bazemke01,2018,SG,29,ATL,67,24.5,4.1,0.402,1.4,0.32,0.472,1.9,0.726,3.9,2.3,1.3,0.6,1.8,11.6
47,bealbr01,2018,SG,25,WAS,82,36.9,9.3,0.475,2.5,0.351,0.54,4.4,0.808,5.0,5.5,1.5,0.7,2.7,25.6
48,beaslma01,2018,SG,22,DEN,81,23.2,4.3,0.474,2.0,0.402,0.584,0.7,0.848,2.5,1.2,0.7,0.1,0.7,11.3
49,beaslmi01,2018,PF,30,LAL,26,10.7,2.9,0.49,0.1,0.176,0.5,1.1,0.718,2.3,1.0,0.3,0.4,1.0,7.0
50,belinma01,2018,SG,32,SAS,79,23.0,3.6,0.413,1.9,0.372,0.52,1.4,0.903,2.5,1.7,0.4,0.1,0.9,10.5
51,belljo01,2018,C,24,GSW,68,11.6,1.5,0.516,0.0,0.0,0.516,0.4,0.61,2.7,1.1,0.3,0.8,0.6,3.3
52,bembrde01,2018,SG,24,ATL,82,23.5,3.4,0.446,0.6,0.289,0.487,1.1,0.64,4.4,2.5,1.3,0.5,1.7,8.4
53,bendedr01,2018,PF,21,PHO,46,18.0,1.9,0.447,0.5,0.218,0.503,0.7,0.593,4.0,1.2,0.4,0.5,0.8,5.0
54,bertada02,2018,SG,29,NOP,12,13.9,1.0,0.255,0.8,0.294,0.362,0.0,0.0,0.8,0.8,0.1,0.0,0.2,2.8
55,bertada01,2018,PF,26,SAS,76,21.5,2.7,0.45,1.9,0.429,0.61,0.7,0.883,3.5,1.3,0.5,0.4,0.6,8.0
56,beverpa01,2018,PG,30,LAC,78,27.4,2.5,0.407,1.4,0.397,0.524,1.2,0.78,5.0,3.8,0.9,0.6,1.1,7.6
57,birchkh01,2018,C,26,ORL,50,12.9,1.8,0.603,0.0,0.0,0.603,1.2,0.699,3.8,0.8,0.4,0.6,0.4,4.8
58,biyombi01,2018,C,26,CHO,54,14.5,1.6,0.571,0.0,0.0,0.571,1.1,0.637,4.6,0.6,0.2,0.8,0.6,4.4
59,bjeline01,2018,PF,30,SAC,77,23.2,3.7,0.479,1.3,0.401,0.566,0.9,0.761,5.8,1.9,0.7,0.7,1.1,9.6
60,blakean01,2018,SG,22,CHI,57,14.5,2.9,0.419,0.6,0.396,0.465,0.9,0.658,1.9,0.7,0.2,0.2,0.6,7.3
61,bledser01,2018,PG,29,MIL,78,29.1,6.0,0.484,1.6,0.329,0.548,2.3,0.75,4.6,5.5,1.5,0.4,2.1,15.9
62,blossja01,2018,SF,25,CLE,27,16.3,1.7,0.443,0.4,0.256,0.491,0.4,0.769,3.6,0.5,0.3,0.3,0.4,4.2
63,bogdabo01,2018,SG,26,SAC,70,27.8,5.2,0.418,1.9,0.36,0.496,1.9,0.827,3.5,3.8,1.0,0.2,1.7,14.1
64,bogdabo02,2018,SF,29,IND,81,31.8,6.4,0.497,2.0,0.425,0.575,3.0,0.807,4.1,2.0,0.9,0.0,1.7,18.0
65,bogutan01,2018,C,34,GSW,11,12.2,1.6,0.5,0.0,0.0,0.5,0.3,1.0,5.0,1.0,0.3,0.7,0.7,3.5
66,boldejo01,2018,PF,23,PHI,44,14.5,1.8,0.494,0.8,0.354,0.599,0.3,0.481,3.8,0.9,0.4,0.9,0.8,4.7
67,bongais01,2018,PG,19,LAL,22,5.5,0.2,0.152,0.0,0.0,0.152,0.4,0.6,1.1,0.7,0.4,0.2,0.3,0.9
68,bookede01,2018,SG,22,PHO,64,35.0,9.2,0.467,2.1,0.326,0.521,6.1,0.866,4.1,6.8,0.9,0.2,4.1,26.6
69,bouchch01,2018,PF,26,TOR,28,5.8,1.2,0.447,0.4,0.324,0.526,0.5,0.867,2.0,0.1,0.2,0.9,0.3,3.3
70,bradlav01,2018,SG,28,TOT,63,30.2,3.9,0.408,1.4,0.351,0.479,0.7,0.86,2.8,2.4,0.7,0.3,1.4,9.9
73,bradlto01,2018,C,21,UTA,3,12.0,2.7,0.5,0.0,0.0,0.5,0.3,0.5,5.0,0.3,0.7,0.7,1.0,5.7
74,breweco01,2018,SF,32,TOT,31,15.9,1.7,0.431,0.5,0.318,0.488,1.0,0.721,2.5,1.3,1.0,0.2,0.6,4.9
77,bridgmi01,2018,SF,22,PHO,82,29.5,3.0,0.43,1.3,0.335,0.523,1.2,0.805,3.2,2.1,1.6,0.5,0.9,8.3
78,bridgmi02,2018,SF,20,CHO,80,21.2,3.0,0.464,0.8,0.325,0.527,0.7,0.753,4.0,1.2,0.7,0.6,0.6,7.5
79,briscis01,2018,PG,22,ORL,39,14.3,1.4,0.399,0.3,0.324,0.438,0.4,0.577,1.9,2.2,0.3,0.1,0.8,3.5
80,broekry01,2018,SG,28,DAL,42,10.8,1.4,0.452,0.9,0.409,0.603,0.4,0.789,1.5,0.5,0.1,0.1,0.4,4.0
81,brogdma01,2018,SG,26,MIL,64,28.6,5.9,0.505,1.6,0.426,0.575,2.2,0.928,4.5,3.2,0.7,0.2,1.4,15.6
82,brookdi01,2018,SF,23,MEM,18,18.3,2.7,0.402,0.8,0.375,0.463,1.2,0.733,1.7,0.9,0.6,0.2,1.1,7.5
83,brookma01,2018,SG,30,MEM,29,13.3,2.6,0.45,0.5,0.278,0.494,0.8,0.697,1.6,0.9,0.3,0.1,0.7,6.6
84,brownbr01,2018,SG,22,DET,74,19.6,1.7,0.398,0.3,0.258,0.436,0.6,0.75,2.5,1.2,0.5,0.5,0.6,4.3
85,brownja02,2018,SG,22,BOS,74,25.9,5.0,0.465,1.3,0.344,0.525,1.8,0.658,4.2,1.4,0.9,0.4,1.3,13.0
86,brownlo01,2018,PG,28,TOR,26,8.2,0.9,0.324,0.2,0.214,0.366,0.1,1.0,1.2,1.1,0.5,0.2,0.6,2.1
87,brownst02,2018,SG,23,MIL,58,17.8,2.5,0.465,0.9,0.361,0.55,0.5,0.69,3.2,1.4,0.4,0.1,0.8,6.4
88,browntr01,2018,SF,19,WAS,52,14.0,1.9,0.415,0.4,0.319,0.462,0.6,0.681,2.8,1.5,0.4,0.1,0.6,4.8
89,brunsja01,2018,PG,22,DAL,73,21.8,3.6,0.467,0.9,0.348,0.523,1.2,0.725,2.3,3.2,0.5,0.1,1.2,9.3
90,bryanth01,2018,C,21,WAS,72,20.8,4.3,0.616,0.5,0.333,0.648,1.5,0.781,6.3,1.3,0.3,0.9,0.8,10.5
91,bullore01,2018,SG,27,TOT,63,29.8,3.9,0.412,2.3,0.377,0.537,1.2,0.859,2.7,2.0,0.6,0.2,1.0,11.3
94,burketr01,2018,PG,26,TOT,58,19.4,4.1,0.431,1.0,0.352,0.482,1.8,0.831,1.7,2.7,0.6,0.1,0.8,10.9
97,burksal01,2018,SG,27,TOT,64,21.5,3.0,0.405,1.0,0.363,0.469,1.8,0.823,3.7,2.0,0.6,0.3,1.0,8.8
101,burtode02,2018,SG,25,OKC,32,7.5,1.0,0.402,0.3,0.296,0.451,0.3,0.667,0.9,0.3,0.2,0.3,0.3,2.6
102,butleji01,2018,SF-SG,29,TOT,65,33.6,6.4,0.462,1.0,0.347,0.499,4.8,0.855,5.3,4.0,1.9,0.6,1.5,18.7
105,cabocbr01,2018,SF,23,MEM,34,23.5,2.8,0.427,1.4,0.369,0.533,1.2,0.84,4.6,1.5,0.4,1.0,1.1,8.3
106,caldejo01,2018,PG,37,DET,49,12.9,0.9,0.375,0.3,0.246,0.433,0.2,0.818,1.2,2.3,0.3,0.1,0.7,2.3
107,caldwke01,2018,SG,25,LAL,82,24.8,4.0,0.43,1.8,0.347,0.53,1.7,0.867,2.9,1.3,0.9,0.2,0.8,11.4
108,canaais01,2018,PG,27,TOT,30,21.0,2.1,0.39,1.1,0.354,0.494,0.6,0.792,1.9,2.8,0.5,0.1,1.2,6.0
112,capelca01,2018,C,24,HOU,67,33.6,7.1,0.648,0.0,0.0,0.648,2.5,0.636,12.7,1.4,0.7,1.5,1.4,16.6
113,carrode01,2018,PF,32,BRK,67,25.4,3.4,0.395,1.6,0.342,0.487,2.7,0.76,5.2,1.3,0.5,0.1,1.1,11.1
