,player_id,playing_season,playing_position,playing_age,team_name,no_of_games_played,no_minutes_played,field_goals_made,field_goals_pctg,three_pointers_made,three_point_pctg,effective_field_goal_pctg,free_thows_made,free_throws_pctg,total_rebounds,no_of_assists,no_of_steals,no_of_blocks,no_of_turnovers,points
0,abrinal01,2017,SG,24,OKC,75,15.1,1.5,0.395,1.1,0.38,0.54,0.5,0.848,1.5,0.4,0.5,0.1,0.3,4.7
1,acyqu01,2017,PF,27,BRK,70,19.4,1.9,0.356,1.5,0.349,0.496,0.7,0.817,3.7,0.8,0.5,0.4,0.9,5.9
2,adamsst01,2017,C,24,OKC,76,32.7,5.9,0.629,0.0,0.0,0.629,2.1,0.559,9.0,1.2,1.2,1.0,1.7,13.9
3,adebaba01,2017,C,20,MIA,69,19.8,2.5,0.512,0.0,0.0,0.512,1.9,0.721,5.5,1.5,0.5,0.6,1.0,6.9
4,afflaar01,2017,SG,32,ORL,53,12.9,1.2,0.401,0.5,0.386,0.485,0.4,0.846,1.2,0.6,0.1,0.2,0.4,3.4
5,aldrico01,2017,C,29,MIN,21,2.3,0.2,0.333,0.0,0.0,0.333,0.1,0.333,0.7,0.1,0.1,0.0,0.0,0.6
6,aldrila01,2017,C,32,SAS,75,33.5,9.2,0.51,0.4,0.293,0.52,4.5,0.837,8.5,2.0,0.6,1.2,1.5,23.1
7,allenja01,2017,C,19,BRK,72,20.0,3.3,0.589,0.1,0.333,0.596,1.6,0.776,5.4,0.7,0.4,1.2,1.1,8.2
8,allenka01,2017,PG,25,BOS,18,5.9,0.3,0.273,0.0,0.0,0.273,0.4,0.778,0.6,0.7,0.2,0.1,0.5,1.1
9,allento01,2017,SF,36,NOP,22,12.4,2.0,0.484,0.2,0.333,0.505,0.5,0.524,2.1,0.4,0.5,0.1,0.9,4.7
10,aminual01,2017,PF,27,POR,69,30.0,3.3,0.395,1.8,0.369,0.503,0.9,0.738,7.6,1.2,1.1,0.6,1.1,9.3
11,anderju01,2017,SF,24,PHI,38,13.7,2.3,0.431,0.9,0.33,0.515,0.7,0.737,2.4,0.7,0.4,0.2,0.4,6.2
12,anderky01,2017,SF,24,SAS,74,26.7,3.1,0.527,0.3,0.333,0.549,1.4,0.712,5.4,2.7,1.6,0.8,1.3,7.9
13,anderry01,2017,PF,29,HOU,66,26.1,3.1,0.431,2.0,0.386,0.568,1.1,0.774,5.0,0.9,0.4,0.3,0.6,9.3
14,anigbik01,2017,C,19,IND,11,2.7,0.4,0.444,0.0,0.0,0.444,0.5,0.833,0.8,0.0,0.1,0.3,0.2,1.2
15,antetgi01,2017,PF,23,MIL,75,36.7,9.9,0.529,0.6,0.307,0.545,6.5,0.76,10.0,4.8,1.5,1.4,3.0,26.9
16,anthoca01,2017,PF,33,OKC,78,32.1,6.1,0.404,2.2,0.357,0.476,1.9,0.767,5.8,1.3,0.6,0.6,1.3,16.2
17,anunoog01,2017,SF,20,TOR,74,20.0,2.2,0.471,1.0,0.371,0.577,0.5,0.629,2.5,0.7,0.7,0.2,0.6,5.9
18,arcidry01,2017,PG,23,CHI,24,12.7,0.7,0.415,0.4,0.29,0.524,0.2,0.833,1.0,1.5,0.5,0.0,0.5,2.0
19,arizatr01,2017,SF,32,HOU,67,33.9,4.0,0.412,2.5,0.368,0.542,1.1,0.854,4.4,1.6,1.5,0.2,0.8,11.7
20,arthuda01,2017,PF,29,DEN,19,7.4,1.2,0.468,0.4,0.348,0.553,0.1,0.667,0.8,0.5,0.4,0.2,0.8,2.8
21,artisja01,2017,SG,25,ORL,15,18.6,2.1,0.392,0.5,0.276,0.443,0.5,0.583,2.5,1.2,0.1,0.2,0.5,5.1
22,asikom01,2017,C,31,TOT,18,10.1,0.5,0.409,0.0,0.0,0.409,0.2,0.308,2.6,0.2,0.1,0.2,0.5,1.2
