,player_id,playing_season,salary
934,gordoaa01,2018,21590909.0
935,holidaa01,2018,1914480.0
936,naderab01,2018,1378242.0
937,aminual01,2018,6957105.0
938,horfoal01,2018,28928710.0
939,burksal01,2018,11536515.0
940,abrinal01,2018,3667645.0
941,carusal01,2018,77250.0
942,lenal01,2018,4350000.0
943,poythal01,2018,77250.0
944,mckinal01,2018,1349383.0
945,johnsal02,2018,838464.0
946,crabbal01,2018,19332500.0
947,trieral01,2018,3382000.0
948,jeffeam01,2018,77250.0
949,johnsam01,2018,2393887.0
950,drumman01,2018,25434262.0
951,iguodan01,2018,16000000.0
952,harrian01,2018,354500.0
953,wiggian01,2018,25467250.0
954,simonan01,2018,1837800.0
955,delgaan01,2018,77250.0
956,zizican01,2018,1952760.0
957,davisan02,2018,25434263.0
958,tollian01,2018,5750000.0
959,blakean01,2018,1349383.0
960,baynear01,2018,5193600.0
961,riverau01,2018,13155324.0
962,bradlav01,2018,12000000.0
963,adebaba01,2018,2955840.0
964,mclembe01,2018,5460000.0
965,simmobe01,2018,6434520.0
966,biyombi01,2018,17000000.0
967,griffbl01,2018,31873932.0
968,marjabo01,2018,9490740.0
969,portibo01,2018,2494346.0
970,bogdabo01,2018,9000000.0
971,bogdabo02,2018,10500000.0
972,wanambr01,2018,838464.0
973,bealbr01,2018,25434262.0
974,goodwbr01,2018,56845.0
975,ingrabr01,2018,5757120.0
976,knighbr03,2018,14631250.0
977,sampsbr01,2018,77250.0
978,lopezbr01,2018,3382000.0
979,brownbr01,2018,838464.0
980,forbebr01,2018,3125000.0
981,hieldbu01,2018,3833760.0
982,milescj01,2018,0.0
983,willicj01,2018,0.0
984,swanica01,2018,1740000.0
985,payneca01,2018,3440356.0
986,leverca01,2018,1702800.0
987,anthoca01,2018,2393887.0
988,osmande01,2018,2775000.0
989,hutchch01,2018,1991520.0
990,parsoch01,2018,24107258.0
991,fryech01,2018,2393887.0
992,randlch01,2018,975824.0
993,diallch01,2018,1544951.0
994,metuch01,2018,838464.0
995,bouchch01,2018,457418.0
996,paulch01,2018,35654150.0
997,woodch01,2018,1512601.0
998,mccolcj01,2018,25759766.0
999,capelca01,2018,15793104.0
1000,zelleco01,2018,13528090.0
1001,sextoco01,2018,4073760.0
1002,josepco01,2018,7945000.0
1003,leeco01,2018,12253780.0
1004,feliccr01,2018,8470980.0
1005,russeda01,2018,7019698.0
1006,augusdj01,2018,0.0
1007,wilsodj01,2018,0.0
1008,jonesda03,2018,1544951.0
1009,lillada01,2018,27977689.0
1010,leeda03,2018,77250.0
1011,dotsoda01,2018,1378242.0
1012,hamilda02,2018,1349383.0
1013,theisda01,2018,1378242.0
1014,gallida01,2018,21587579.0
1015,greenda02,2018,10000000.0
1016,cunnida01,2018,2487000.0
1017,exumda01,2018,10600000.0
1018,houseda01,2018,247827.0
1019,saricda01,2018,2526840.0
1020,milleda01,2018,2205000.0
1021,collida01,2018,10000000.0
1022,maconda01,2018,77250.0
1023,nwabada01,2018,1512601.0
1024,bertada01,2018,7000000.0
1025,reedda01,2018,752250.0
1026,foxde01,2018,5470920.0
1027,meltode01,2018,949000.0
1028,bembrde01,2018,0.0
1029,aytonde01,2018,8175840.0
1030,jordade01,2018,22897200.0
1031,wrighde01,2018,2536898.0
1032,derozde01,2018,27739975.0
1033,couside01,2018,5337000.0
1034,carrode01,2018,15400000.0
1035,jacksde01,2018,170107.0
1036,schrode01,2018,15500000.0
1037,smithde03,2018,3819960.0
1038,burtode02,2018,500000.0
1039,favorde01,2018,16900000.0
1040,jonesde02,2018,1512601.0
1041,rosede01,2018,2176260.0
1042,whitede01,2018,1667160.0
1043,bookede01,2018,3314365.0
1044,harride01,2018,2393887.0
1045,robinde01,2018,77250.0
1046,grahade01,2018,0.0
1047,dedmode01,2018,6300000.0
1048,brookdi01,2018,1378242.0
1049,waitedi01,2018,12705000.0
1050,nowitdi01,2018,5000000.0
1051,sabondo01,2018,2659800.0
1052,mitchdo01,2018,3111480.0
1053,divindo01,2018,2484360.0
1054,grantdo01,2018,77250.0
1055,finnedo01,2018,1544951.0
1056,mcderdo01,2018,7333334.0
1057,bendedr01,2018,4661280.0
1058,greendr01,2018,17469565.0
1059,eubandr01,2018,77250.0
1060,robindu01,2018,77250.0
1061,bacondw01,2018,1378242.0
1062,howardw01,2018,24256725.0
1063,poweldw01,2018,9631250.0
1064,wadedw01,2018,2393887.0
1065,musadz01,2018,1634400.0
1066,mooreet01,2018,8808685.0
1067,davised01,2018,4449000.0
1068,sumneed01,2018,449794.0
1069,udohek01,2018,3360000.0
1070,paytoel01,2018,3000000.0
